Year,Total,Share of Total US Enrollment
1948,25464,0.011
1949,26433,0.011000000000000001
1950,29813,0.013000000000000001
1951,30462,0.013999999999999999
1952,33675,0.016
1953,33833,0.015
1954,34232,0.013999999999999999
1955,36494,0.013999999999999999
1956,40666,0.013999999999999999
1957,43391,0.013000000000000001
1958,47245,
1959,48486,0.013000000000000001
1960,53107,
1961,58086,0.013999999999999999
1962,64705,
1963,74814,0.016
1964,82045,0.016
1965,82709,0.013999999999999999
1966,100262,0.016
1967,110315,0.016
1968,121362,0.016
1969,134959,0.017
1970,144708,0.017
1971,140126,0.016
1972,146097,0.016
1973,151066,0.016
1974,154580,0.015
1975,179344,0.016
1976,203068,0.018000000000000002
1977,235509,0.021
1978,263938,0.023
1979,286343,0.025
1980,311882,0.026000000000000002
1981,326299,0.026000000000000002
1982,336985,0.027000000000000003
1983,338894,0.027000000000000003
1984,342113,0.027999999999999997
1985,343777,0.027999999999999997
1986,349609,0.027999999999999997
1987,356187,0.027999999999999997
1988,366354,0.027999999999999997
1989,386851,0.028999999999999998
1990,407529,0.028999999999999998
1991,419585,0.028999999999999998
1992,438618,0.03
1993,449749,0.031
1994,452635,0.032
1995,453787,0.032
1996,457984,0.032
1997,481280,0.033
1998,490933,0.034
1999,514723,0.035
2000,547867,0.036000000000000004
2001,582996,0.037000000000000005
2002,586323,0.035
2003,572509,0.034
2004,565039,0.033
2005,564766,0.032
2006,582984,0.033
2007,623805,0.034
2008,671616,0.035
2009,690923,0.034
2010,723277,0.035
2011,764495,0.037000000000000005
2012,819644,0.039
2013,886052,0.042
2014,974926,0.048
2015,1043839,0.052000000000000005
2016,1078822,0.053
2017,1094792,0.055
2018,1095299,0.055
2019,1075496,0.055
2020,914095,0.046
2021,948519,0.047
2022,1057188,0.055999999999999994
2023,1126690,0.059000000000000004
2024,1177766,0.061
