Year,India,China,South Korea,Saudi Arabia,Canada,Taiwan,Nepal,Vietnam,Nigeria,Mexico,Brazil,Japan,Indonesia,Colombia,United Kingdom,France,Germany
2009,77309.089,58198.368,22006.665,6624.39,9400.43,9553.23,5672.665,4261.4,3625.536,4182.95,1968.064,4024.404,2353.677,2359.72,1798.783,1967.58,2157.848
2010,75843.35,68222.614,21418.492,8763.744,9420.732,8537.392,5727.356,4689.72,4102.952,4196.178,1983.602,3598.01,2332.512,2149.848,1816.241,1668.188,2061.844
2011,74801.42,81880.238,21688.5,11197.592,9306.887,8742.0,5512.833,4360.16,3998.932,4306.83,1923.177,3234.492,2310.444,1957.745,1644.294,2041.536,1990.911
2012,72178.484,95416.785,19563.679,16979.646,9191.952,8200.125,5459.04,4668.42,4170.12,4316.496,2619.188,2641.68,2170.61,1884.384,1770.329,1991.28,2111.085
2013,80803.651,114166.624,20209.959,22322.466,10076.224,8336.272,5341.525,5006.858,4499.128,4670.164,2922.92,2784.096,2518.56,2181.564,1987.245,2117.01,2062.48
2014,106841.952,128912.96,19750.1,25476.625,10187.76,8061.312,5588.23,5317.048,5345.122,4638.144,7149.85,2668.96,2636.536,2129.193,2094.885,2185.75,2130.337
2015,132900.318,140289.569,19034.184,27395.289,9737.253,8197.276,6454.216,6399.497,6052.158,5019.9,6469.58,2611.22,2757.732,2407.02,2029.825,2112.124,2059.435
2016,149199.867,153279.935,19417.453,26778.999,10582.415,8713.98,7556.157,7382.102,6475.63,5521.88,3874.344,2910.9,2764.44,2522.312,2240.355,2150.616,2043.969
2017,159175.781,167136.86,19148.805,24082.144,9974.965,9610.312,9726.91,9170.525,7450.791,5444.736,4371.38,2962.974,3027.5,2656.008,2337.84,2323.728,2128.904
2018,161611.2,176274.396,19384.75,20171.52,9926.36,10305.729,9736.544,9586.056,8040.377,5330.15,4753.464,3041.64,2899.532,2587.26,2318.368,2379.468,2169.076
2019,151216.092,180678.02,19873.791,16654.866,10552.752,10818.144,8898.27,9938.786,8559.964,5237.02,5218.023,3229.936,3535.8,2522.988,2420.1,2422.706,2153.386
2020,129876.05,159918.696,16981.13,12699.207,10082.343,9974.211,8546.58,9950.26,8037.5,5103.498,4830.0,2922.68,3040.534,2480.343,2095.308,1941.192,1550.196
2021,150382.41,149684.376,17687.67,10231.772,10724.161,10796.649,8837.451,9755.823,9009.312,5437.5,4990.495,3026.025,3145.179,2923.874,2470.08,2348.553,2026.35
2022,204919.326,148526.838,19073.445,9193.675,10899.516,11615.688,10532.82,10424.4,10760.4,5540.121,5464.525,3226.854,3251.328,3310.944,3069.792,2437.32,2281.734
2023,250359.51,143969.562,19071.858,8466.788,11512.206,12157.425,12121.208,10702.01,12458.038,5833.698,5873.196,3098.898,3122.152,3673.56,2743.926,2605.615,2325.96
2024,269723.1,142000.7,18820.4,7341.8,11542.6,12120.0,18045.3,12152.4,13523.3,6073.0,6047.0,3177.2,3193.0,3829.9,2884.2,2557.2,2299.0
