Year,Cognizant Technology Solutions,Infosys Limited, Tata Consultancy,WIPRO Limited ,Google Inc,Deloitte and Subsidiaries,HCL Technologies Limited and Subsidiaries,Accenture and Subsidiaries,IBM and subsidiaries,Capgemini America Inc,Top 10,All Other Companies,Total
2009,1556,3578,372,3677,532,1462,455,567,1720,355,14274,20146,34420
2010,6984,7175,285,3208,803,1381,382,637,1590,360,22805,13556,36361
2011,9578,9985,1890,5578,1156,1999,1611,1661,1749,657,35864,19546,55410
2012,16026,9870,6925,7145,1266,482,2883,4379,1156,603,50735,24335,75070
2013,12364,12863,5700,6990,1662,421,2734,4229,1181,1048,49192,27360,76552
2014,18632,10353,8812,9249,1992,379,2744,4560,1086,1586,59393,36030,95423
2015,17022,9305,8060,6532,2303,419,3206,2675,924,1461,51907,31163,83070
2016,22198,13848,11649,7160,2669,689,4084,3672,3461,2087,71517,39027,110544
2017,28434,13834,14374,6837,2808,3884,4921,3129,3876,3335,85432,43369,128801
2018,9208,5963,8775,3160,3404,5747,2625,2592,2660,2917,47051,35175,82226
2019,13284,5506,7609,3129,6048,6438,2787,2919,2936,3536,54192,42997,97189
2020,14749,9839,8422,3587,5816,5512,4625,4086,3148,4761,64545,45047,109592
2021,8808,8874,10524,2931,6463,3880,3291,2578,3141,2975,53465,38294,91759
2022,6117,7103,9970,2268,8417,5255,3418,2180,3063,3120,50911,39228,90139
2023,7615,7098,7045,2413,5444,3716,3044,2133,2447,2820,43775,32009,75784
2024,7441,7863,7483,1630,5328,3414,3127,2134,2883,2779,44082,31622,75704
2025,3891,2848,6041,1803,5438,3936,2403,1842,1994,2154,32350,32864,65214
