Year,China,United States of America,Japan,Republic of Korea,Germany
1985,7.0,1446,12823,274,442
1986,153.0,1649,15930,311,410
1987,211.0,2127,19123,407,440
1988,140.0,2196,21869,617,466
1989,169.0,3079,22769,772,426
1990,217.0,2817,23648,836,497
1991,203.0,3047,22936,1010,503
1992,216.0,3385,30949,1150,517
1993,295.0,4108,27979,1153,559
1994,360.0,5072,23699,1115,517
1995,430.0,5641,21052,1586,495
1996,908.0,7138,19601,2115,538
1997,1258.0,7610,18680,3150,684
1998,1481.0,12079,19827,3517,829
1999,1667.0,12382,21121,3544,952
2000,1862.0,12172,22023,5369,1012
2001,2688.0,17603,22827,7560,1379
2002,3362.0,29950,26328,6508,1565
2003,4841.0,32662,23335,6081,1726
2004,6779.0,33954,24818,6888,1508
2005,10289.0,37030,24266,7394,1715
2006,11198.0,43039,25296,9654,1727
2007,13587.0,44221,24244,9876,1638
2008,15507.0,50858,23300,9902,1379
2009,17255.0,51524,22820,8792,1237
2010,19101.0,50058,21177,9047,1033
2011,23510.0,48710,19425,9890,987
2012,31804.0,53667,19366,10432,1060
2013,41498.0,55060,20273,10976,1378
2014,51958.0,59802,18851,13615,1475
2015,61236.0,56056,18205,14311,1458
2016,69309.0,55233,16934,12406,1422
2017,96098.0,54596,18259,11837,1573
2018,109959.0,53808,15293,11291,1762
2019,151640.0,59147,16459,11821,1975
2020,179898.0,64557,16216,12919,2036
2021,221613.0,66644,17839,15624,2377
2022,254147.0,67066,17474,17819,2457
2023,284536.0,67822,15986,18902,2394
2024,315101.0,67975,14355,18811,2318
