Unnamed: 0,France,Germany,Japan,Korea,United Kingdom,United States,EU27,China
1991,24440.02039,40066.91877,69205.31938,7034.938304,18689.66701,161391,112321.7331,9187.203164
1992,25459.42105,39779.70244,70030.7659,8009.43851,18858.01552,165838,114170.7684,10785.01001
1993,26304.29223,39134.95444,69864.26649,9516.961213,20042.3751,166153,114512.8727,12004.33544
1994,26902.05897,39448.63934,70608.35687,11530.93821,20946.71392,169621,116580.8905,12549.93193
1995,27706.68984,41068.90342,76727.6875,13153.92789,19671.75036,184086,120845.8286,12838.01098
1996,28358.60825,42285.30038,83096.60291,14824.88218,20103.50557,197802,125943.5131,14238.39107
1997,28632.15937,44104.34478,87901.83022,16243.2369,20677.94959,212478,132507.7201,17935.1819
1998,29450.36777,46083.90784,91169.7923,14626.70257,21443.18253,226227,139600.6422,19795.00345
1999,30993.7523,50677.4699,92773.73004,15792.63879,23323.50229,244980,150108.3462,25034.98925
2000,33274.46162,53892.12932,98935.1992,18520.55577,25148.94961,268558,162788.1444,33081.88371
2001,36073.41123,56186.2635,103866.7865,21290.52391,26330.60342,279061,173209.394,38519.51038
2002,38334.72774,58637.42531,108166.2253,22506.77568,27871.36259,278414,182025.6029,48007.46162
2003,37177.38427,61087.84781,112362.1308,24098.10752,28595.81613,292157,185943.952,57030.47038
2004,38169.81806,62964.83906,117429.96,27916.22102,29438.09146,303824,192998.2987,69908.07145
2005,39530.06331,64028.3314,128694.5614,30618.32565,30639.65144,326231,200716.2729,86587.95473
2006,42365.84266,69570.69043,138799.5905,35411.98111,33314.25797,351669,221454.8644,105182.008
2007,44231.85922,73467.92172,147575.7515,40646.62457,35252.61744,378524,236848.18,123682.3038
2008,46567.08548,81172.63725,148719.2346,43906.41276,36542.01863,405405,259250.1348,145416.7767
2009,49635.39766,82697.11207,137283.9345,45784.09914,36422.76059,404200,265329.2115,184059.7903
2010,50853.85228,86954.77783,140511.5072,52146.57191,37533.21815,408495,275186.235,212074.8694
2011,53617.29147,95809.96574,148389.2294,58379.65416,38778.58662,427125,293093.3928,246477.1995
2012,55097.72622,100490.085,152325.5676,64862.48855,38490.16182,434424,305655.9504,290892.7655
2013,58353.32634,102905.4546,164655.7643,68234.05477,41532.08789,455089,317007.4793,327146.2769
2014,60585.64991,109562.6834,169554.1485,73099.81331,60396.72431,476971,330550.9954,352373.0969
2015,60557.58817,114128.177,168546.1195,76932.39055,62989.7106,507372,342132.8491,374714.4954
2016,63651.42217,122472.2055,160269.3129,80815.9607,67116.27833,533451,360096.9622,404635.427
2017,65592.82912,133668.0031,166621.7342,90289.88169,70754.89898,565446,386631.7609,435789.6306
2018,68653.97244,142320.1851,172035.7967,100282.5864,84778.41324,617538,413585.7719,480642.3269
2019,75681.68193,153293.1564,173928.4265,105064.3681,89091.24552,676995,454268.8764,545460.7854
2020,76072.64334,150788.8204,174926.4424,112221.208,94638.46148,729857,459895.8786,607601.4738
2021,78839.71756,160158.6052,182504.4225,123074.1182,99066.84426,821478,492570.3454,701114.6371
2022,84867.96775,173935.9178,201665.2923,137943.8253,108929.2198,906953,543643.2234,811348.1998
2023,86748.80415,181774.0114,213803.5465,143741.2159,106155.7016,955578,570654.7159,915462.8102
