Year,Bachelors,Masters,Doctorate
1995,1182780,402577,123538
1996,1181637,409593,122578
1997,1188385,421523,125515
1998,1203827,434491,126592
1999,1223323,444636,124360
2000,1259231,461607,126438
2001,1264769,472574,126652
2002,1313614,486764,127263
2003,1370730,518960,129464
2004,1421865,565567,134358
2005,1460930,581758,142173
2006,1504775,602163,146276
2007,1546711,612314,153050
2008,1582274,635013,155747
2009,1620842,669764,159787
2010,1669939,703114,160411
2011,1735623,741885,165745
2012,1814640,766940,172097
2013,1863487,763386,177774
2014,1893179,765659,179447
2015,1918381,769788,180362
2016,1944403,796923,180354
2017,1980620,815181,183196
2018,2008283,833487,186603
2019,2036309,845739,189621
2020,2061059,855580,192026
2021,2089542,880522,196298
2022,2036336,894277,206520
2023,1985762,947728,207764
2024,1974834,948532,215814
